date,category,description,amount,type
20-03-2026,Investment,ESP32-Home WiFi Entry,31656.0,Income
24-02-2026,Bonus,ESP32-01 WiFi Entry,35626.0,Income
05-03-2026,Bills,ESP32-01 WiFi Entry,550.0,Expense
27-02-2026,Salary,ESP32-Office WiFi Entry,32269.0,Income
13-04-2026,Bills,ESP32-Home WiFi Entry,462.0,Expense
08-04-2026,Rent,ESP32-Office WiFi Entry,2141.0,Expense
01-04-2026,Food,ESP32-Home WiFi Entry,4859.0,Expense
06-03-2026,Shopping,ESP32-01 WiFi Entry,3140.0,Expense
19-03-2026,Food,ESP32-Home WiFi Entry,1118.0,Expense
17-03-2026,Travel,ESP32-02 WiFi Entry,3251.0,Expense
24-03-2026,Food,ESP32-Kitchen WiFi Entry,938.0,Expense
07-04-2026,Bonus,ESP32-02 WiFi Entry,22446.0,Income
24-03-2026,Bonus,ESP32-01 WiFi Entry,23694.0,Income
19-03-2026,Travel,ESP32-02 WiFi Entry,797.0,Expense
31-03-2026,Rent,ESP32-01 WiFi Entry,1092.0,Expense
22-04-2026,Rent,ESP32-Kitchen WiFi Entry,2192.0,Expense
08-04-2026,Rent,ESP32-Kitchen WiFi Entry,1529.0,Expense
23-03-2026,Bonus,ESP32-Home WiFi Entry,6916.0,Income
02-04-2026,Shopping,ESP32-02 WiFi Entry,577.0,Expense
06-03-2026,Food,ESP32-Home WiFi Entry,4036.0,Expense
08-04-2026,Food,ESP32-01 WiFi Entry,4002.0,Expense
14-04-2026,Investment,ESP32-01 WiFi Entry,26423.0,Income
06-04-2026,Travel,ESP32-Kitchen WiFi Entry,4948.0,Expense
18-04-2026,Travel,ESP32-Office WiFi Entry,278.0,Expense
23-03-2026,Travel,ESP32-Office WiFi Entry,2014.0,Expense
20-04-2026,Travel,ESP32-02 WiFi Entry,3414.0,Expense
14-04-2026,Bonus,ESP32-Office WiFi Entry,45488.0,Income
01-04-2026,Rent,ESP32-Kitchen WiFi Entry,4864.0,Expense
21-04-2026,Food,ESP32-02 WiFi Entry,3962.0,Expense
21-03-2026,Investment,ESP32-02 WiFi Entry,15383.0,Income
11-04-2026,Travel,ESP32-Home WiFi Entry,97.0,Expense
11-04-2026,Travel,ESP32-02 WiFi Entry,3697.0,Expense
23-02-2026,Rent,ESP32-01 WiFi Entry,2935.0,Expense
16-03-2026,Travel,ESP32-Office WiFi Entry,1171.0,Expense
22-02-2026,Shopping,ESP32-Office WiFi Entry,1770.0,Expense
04-03-2026,Food,ESP32-Kitchen WiFi Entry,143.0,Expense
06-03-2026,Salary,ESP32-Kitchen WiFi Entry,13756.0,Income
11-04-2026,Food,ESP32-Kitchen WiFi Entry,199.0,Expense
14-03-2026,Shopping,ESP32-Kitchen WiFi Entry,920.0,Expense
11-03-2026,Salary,ESP32-Home WiFi Entry,13938.0,Income
02-03-2026,Rent,ESP32-Kitchen WiFi Entry,4613.0,Expense
01-04-2026,Travel,ESP32-01 WiFi Entry,3053.0,Expense
24-02-2026,Food,ESP32-Office WiFi Entry,322.0,Expense
27-02-2026,Investment,ESP32-02 WiFi Entry,26033.0,Income
22-04-2026,Food,ESP32-Test WiFi Entry,250.0,Expense
11-04-2026,Food,ESP32-Kitchen WiFi Entry,3551.0,Expense
23-02-2026,Travel,ESP32-Kitchen WiFi Entry,1319.0,Expense
28-03-2026,Rent,ESP32-02 WiFi Entry,4703.0,Expense
27-02-2026,Rent,ESP32-Office WiFi Entry,3902.0,Expense
12-04-2026,Salary,ESP32-Home WiFi Entry,11613.0,Income
22-03-2026,Travel,ESP32-Home WiFi Entry,2665.0,Expense
28-03-2026,Rent,ESP32-Home WiFi Entry,2258.0,Expense
16-04-2026,Bills,ESP32-Office WiFi Entry,3660.0,Expense
26-02-2026,Salary,ESP32-01 WiFi Entry,48850.0,Income
06-04-2026,Shopping,ESP32-02 WiFi Entry,1419.0,Expense
26-03-2026,Rent,ESP32-Office WiFi Entry,2885.0,Expense
07-03-2026,Rent,ESP32-Office WiFi Entry,436.0,Expense
17-03-2026,Rent,ESP32-Home WiFi Entry,3630.0,Expense
23-03-2026,Travel,ESP32-02 WiFi Entry,840.0,Expense
02-03-2026,Salary,ESP32-Home WiFi Entry,48395.0,Income
05-04-2026,Food,ESP32-01 WiFi Entry,2288.0,Expense
27-02-2026,Rent,ESP32-Office WiFi Entry,2015.0,Expense
15-03-2026,Salary,ESP32-Office WiFi Entry,29818.0,Income
16-03-2026,Rent,ESP32-Kitchen WiFi Entry,598.0,Expense
05-04-2026,Salary,ESP32-01 WiFi Entry,7010.0,Income
25-03-2026,Salary,ESP32-Home WiFi Entry,40165.0,Income
10-03-2026,Bonus,ESP32-Office WiFi Entry,29017.0,Income
09-03-2026,Bills,ESP32-Kitchen WiFi Entry,3063.0,Expense
14-04-2026,Bonus,ESP32-Office WiFi Entry,48793.0,Income
01-04-2026,Food,ESP32-Kitchen WiFi Entry,1235.0,Expense
22-02-2026,Rent,ESP32-02 WiFi Entry,1930.0,Expense
05-04-2026,Food,ESP32-Kitchen WiFi Entry,3976.0,Expense
22-03-2026,Investment,ESP32-Kitchen WiFi Entry,25006.0,Income
08-03-2026,Bonus,ESP32-Kitchen WiFi Entry,41630.0,Income
29-03-2026,Bonus,ESP32-Office WiFi Entry,25326.0,Income
28-02-2026,Bills,ESP32-01 WiFi Entry,1220.0,Expense
20-03-2026,Bills,ESP32-Kitchen WiFi Entry,4918.0,Expense
28-03-2026,Bonus,ESP32-Kitchen WiFi Entry,25947.0,Income
14-04-2026,Salary,ESP32-Office WiFi Entry,48172.0,Income
12-03-2026,Salary,ESP32-02 WiFi Entry,21937.0,Income
17-04-2026,Investment,ESP32-Home WiFi Entry,32899.0,Income
08-04-2026,Rent,ESP32-Office WiFi Entry,2915.0,Expense
16-03-2026,Travel,ESP32-Office WiFi Entry,3075.0,Expense
04-03-2026,Travel,ESP32-Home WiFi Entry,4231.0,Expense
03-04-2026,Bills,ESP32-Office WiFi Entry,1017.0,Expense
05-03-2026,Rent,ESP32-Kitchen WiFi Entry,2978.0,Expense
11-04-2026,Bonus,ESP32-Kitchen WiFi Entry,28161.0,Income
10-03-2026,Bills,ESP32-01 WiFi Entry,3098.0,Expense
20-03-2026,Shopping,ESP32-02 WiFi Entry,1846.0,Expense
03-04-2026,Salary,ESP32-Office WiFi Entry,29678.0,Income
01-03-2026,Rent,ESP32-01 WiFi Entry,4094.0,Expense
18-03-2026,Investment,ESP32-02 WiFi Entry,32446.0,Income
13-04-2026,Food,ESP32-Home WiFi Entry,4552.0,Expense
27-03-2026,Travel,ESP32-02 WiFi Entry,3366.0,Expense
12-04-2026,Bills,ESP32-Office WiFi Entry,2337.0,Expense
27-02-2026,Bonus,ESP32-02 WiFi Entry,6503.0,Income
13-04-2026,Investment,ESP32-01 WiFi Entry,10275.0,Income
01-03-2026,Salary,ESP32-Home WiFi Entry,23334.0,Income
31-03-2026,Food,ESP32-01 WiFi Entry,720.0,Expense
27-03-2026,Travel,ESP32-Home WiFi Entry,4798.0,Expense
20-04-2026,Shopping,ESP32-02 WiFi Entry,2616.0,Expense
16-03-2026,Food,ESP32-Kitchen WiFi Entry,3519.0,Expense
24-02-2026,Bonus,ESP32-Office WiFi Entry,48821.0,Income
03-04-2026,Bills,ESP32-Home WiFi Entry,4142.0,Expense
06-04-2026,Bills,ESP32-02 WiFi Entry,4634.0,Expense
01-03-2026,Shopping,ESP32-Home WiFi Entry,4223.0,Expense
26-03-2026,Bonus,ESP32-Office WiFi Entry,27089.0,Income
21-03-2026,Investment,ESP32-Office WiFi Entry,46060.0,Income
06-03-2026,Salary,ESP32-02 WiFi Entry,47749.0,Income
08-03-2026,Salary,ESP32-Home WiFi Entry,19494.0,Income
17-04-2026,Food,ESP32-Kitchen WiFi Entry,820.0,Expense
16-04-2026,Bonus,ESP32-Kitchen WiFi Entry,29488.0,Income
13-04-2026,Salary,ESP32-01 WiFi Entry,6742.0,Income
05-04-2026,Rent,ESP32-Kitchen WiFi Entry,3714.0,Expense
06-03-2026,Rent,ESP32-Office WiFi Entry,1785.0,Expense
07-03-2026,Salary,ESP32-02 WiFi Entry,26753.0,Income
21-03-2026,Bills,ESP32-Office WiFi Entry,1914.0,Expense
20-04-2026,Salary,ESP32-Kitchen WiFi Entry,13227.0,Income
01-03-2026,Bonus,ESP32-01 WiFi Entry,16356.0,Income
13-04-2026,Food,ESP32-01 WiFi Entry,738.0,Expense
25-02-2026,Shopping,ESP32-Office WiFi Entry,4448.0,Expense
09-03-2026,Salary,ESP32-Office WiFi Entry,17418.0,Income
28-03-2026,Bills,ESP32-02 WiFi Entry,3519.0,Expense
22-02-2026,Bonus,ESP32-01 WiFi Entry,49771.0,Income
01-03-2026,Investment,ESP32-Kitchen WiFi Entry,6769.0,Income
06-03-2026,Bills,ESP32-Kitchen WiFi Entry,2175.0,Expense
01-03-2026,Food,ESP32-01 WiFi Entry,3101.0,Expense
01-04-2026,Salary,ESP32-01 WiFi Entry,49970.0,Income
20-04-2026,Food,ESP32-Home WiFi Entry,4931.0,Expense
07-03-2026,Travel,ESP32-Home WiFi Entry,4577.0,Expense
01-04-2026,Salary,ESP32-Office WiFi Entry,16590.0,Income
04-03-2026,Bonus,ESP32-Office WiFi Entry,30756.0,Income
25-03-2026,Bonus,ESP32-01 WiFi Entry,35062.0,Income
10-03-2026,Shopping,ESP32-Kitchen WiFi Entry,3980.0,Expense
28-03-2026,Salary,ESP32-Kitchen WiFi Entry,44013.0,Income
09-03-2026,Bonus,ESP32-01 WiFi Entry,28897.0,Income
20-04-2026,Investment,ESP32-01 WiFi Entry,35626.0,Income
20-04-2026,Travel,ESP32-02 WiFi Entry,3712.0,Expense
09-03-2026,Food,ESP32-Kitchen WiFi Entry,2653.0,Expense
26-03-2026,Salary,ESP32-Home WiFi Entry,48721.0,Income
06-04-2026,Shopping,ESP32-Kitchen WiFi Entry,190.0,Expense
16-04-2026,Bonus,ESP32-Kitchen WiFi Entry,42757.0,Income
24-03-2026,Salary,ESP32-02 WiFi Entry,35090.0,Income
26-02-2026,Food,ESP32-01 WiFi Entry,3866.0,Expense
18-03-2026,Shopping,ESP32-Kitchen WiFi Entry,1740.0,Expense
07-04-2026,Investment,ESP32-02 WiFi Entry,26870.0,Income
28-02-2026,Shopping,ESP32-Office WiFi Entry,4403.0,Expense
04-04-2026,Food,ESP32-Office WiFi Entry,4092.0,Expense
19-04-2026,Salary,ESP32-01 WiFi Entry,44405.0,Income
22-04-2026,Bonus,ESP32-Kitchen WiFi Entry,44217.0,Income
19-04-2026,Rent,ESP32-Office WiFi Entry,1315.0,Expense
08-03-2026,Rent,ESP32-02 WiFi Entry,566.0,Expense
28-02-2026,Travel,ESP32-02 WiFi Entry,2782.0,Expense
28-02-2026,Bills,ESP32-Home WiFi Entry,1486.0,Expense
10-04-2026,Food,ESP32-Office WiFi Entry,2963.0,Expense
18-03-2026,Investment,ESP32-Kitchen WiFi Entry,7777.0,Income
05-03-2026,Bonus,ESP32-02 WiFi Entry,49445.0,Income
27-03-2026,Bonus,ESP32-02 WiFi Entry,18339.0,Income
03-04-2026,Food,ESP32-Office WiFi Entry,697.0,Expense
15-03-2026,Bills,ESP32-Home WiFi Entry,948.0,Expense
16-03-2026,Investment,ESP32-Office WiFi Entry,8873.0,Income
30-03-2026,Food,ESP32-Home WiFi Entry,681.0,Expense
15-03-2026,Bonus,ESP32-01 WiFi Entry,9724.0,Income
18-03-2026,Travel,ESP32-Home WiFi Entry,2467.0,Expense
11-03-2026,Travel,ESP32-Home WiFi Entry,410.0,Expense
11-04-2026,Food,ESP32-01 WiFi Entry,3212.0,Expense
10-04-2026,Salary,ESP32-02 WiFi Entry,9247.0,Income
22-02-2026,Travel,ESP32-02 WiFi Entry,1158.0,Expense
07-04-2026,Bills,ESP32-Kitchen WiFi Entry,1818.0,Expense
14-04-2026,Salary,ESP32-Office WiFi Entry,12552.0,Income
01-04-2026,Investment,ESP32-01 WiFi Entry,49665.0,Income
06-03-2026,Food,ESP32-01 WiFi Entry,3138.0,Expense
04-04-2026,Rent,ESP32-Home WiFi Entry,4182.0,Expense
20-04-2026,Salary,ESP32-02 WiFi Entry,11153.0,Income
11-04-2026,Shopping,ESP32-02 WiFi Entry,1941.0,Expense
23-02-2026,Investment,ESP32-Office WiFi Entry,12509.0,Income
28-03-2026,Rent,ESP32-Office WiFi Entry,1904.0,Expense
13-03-2026,Investment,ESP32-Kitchen WiFi Entry,20578.0,Income
24-03-2026,Bonus,ESP32-02 WiFi Entry,29171.0,Income
29-03-2026,Food,ESP32-Kitchen WiFi Entry,1190.0,Expense
18-04-2026,Bonus,ESP32-Home WiFi Entry,22844.0,Income
13-04-2026,Salary,ESP32-01 WiFi Entry,30868.0,Income
01-03-2026,Travel,ESP32-Home WiFi Entry,4779.0,Expense
21-04-2026,Salary,ESP32-Office WiFi Entry,5682.0,Income
17-04-2026,Shopping,ESP32-01 WiFi Entry,394.0,Expense
08-03-2026,Shopping,ESP32-02 WiFi Entry,119.0,Expense
08-04-2026,Travel,ESP32-Office WiFi Entry,927.0,Expense
15-03-2026,Bonus,ESP32-Kitchen WiFi Entry,42824.0,Income
25-03-2026,Food,ESP32-02 WiFi Entry,4670.0,Expense
21-03-2026,Investment,ESP32-Home WiFi Entry,25877.0,Income
07-03-2026,Shopping,ESP32-Kitchen WiFi Entry,2900.0,Expense
17-04-2026,Rent,ESP32-Home WiFi Entry,4459.0,Expense
14-03-2026,Salary,ESP32-Office WiFi Entry,41271.0,Income
28-03-2026,Shopping,ESP32-Home WiFi Entry,482.0,Expense
26-03-2026,Travel,ESP32-Office WiFi Entry,860.0,Expense
21-04-2026,Food,ESP32-02 WiFi Entry,1176.0,Expense
16-03-2026,Bonus,ESP32-02 WiFi Entry,8031.0,Income
28-03-2026,Travel,ESP32-Kitchen WiFi Entry,2971.0,Expense
08-04-2026,Bills,ESP32-Kitchen WiFi Entry,4554.0,Expense
21-03-2026,Bills,ESP32-01 WiFi Entry,2859.0,Expense
22-02-2026,Food,ESP32-01 WiFi Entry,2202.0,Expense
13-03-2026,Food,ESP32-02 WiFi Entry,2088.0,Expense
24-03-2026,Food,ESP32-Kitchen WiFi Entry,3706.0,Expense
15-03-2026,Bills,ESP32-Home WiFi Entry,4375.0,Expense
11-04-2026,Travel,ESP32-Office WiFi Entry,2887.0,Expense
16-04-2026,Food,ESP32-01 WiFi Entry,3173.0,Expense
03-03-2026,Bills,ESP32-Office WiFi Entry,2842.0,Expense
06-04-2026,Travel,ESP32-02 WiFi Entry,3666.0,Expense
10-03-2026,Bonus,ESP32-Kitchen WiFi Entry,39080.0,Income
20-04-2026,Bonus,ESP32-02 WiFi Entry,27704.0,Income
24-02-2026,Bills,ESP32-Kitchen WiFi Entry,720.0,Expense
04-03-2026,Rent,ESP32-Kitchen WiFi Entry,260.0,Expense
26-02-2026,Rent,ESP32-Kitchen WiFi Entry,3704.0,Expense
16-04-2026,Bonus,ESP32-02 WiFi Entry,47485.0,Income
05-04-2026,Shopping,ESP32-Home WiFi Entry,4248.0,Expense
24-03-2026,Salary,ESP32-Kitchen WiFi Entry,28039.0,Income
02-03-2026,Investment,ESP32-Home WiFi Entry,7822.0,Income
04-03-2026,Investment,ESP32-Kitchen WiFi Entry,31469.0,Income
13-03-2026,Shopping,ESP32-Office WiFi Entry,3533.0,Expense
09-04-2026,Travel,ESP32-Office WiFi Entry,4507.0,Expense
20-04-2026,Rent,ESP32-02 WiFi Entry,4537.0,Expense
10-04-2026,Bonus,ESP32-Office WiFi Entry,26074.0,Income
20-03-2026,Investment,ESP32-Office WiFi Entry,11087.0,Income
17-04-2026,Bills,ESP32-Home WiFi Entry,1570.0,Expense
31-03-2026,Investment,ESP32-Home WiFi Entry,47640.0,Income
17-04-2026,Bonus,ESP32-01 WiFi Entry,22124.0,Income
22-02-2026,Shopping,ESP32-01 WiFi Entry,4121.0,Expense
18-03-2026,Rent,ESP32-Office WiFi Entry,2763.0,Expense
05-03-2026,Investment,ESP32-02 WiFi Entry,32295.0,Income
05-03-2026,Travel,ESP32-02 WiFi Entry,956.0,Expense
25-03-2026,Investment,ESP32-02 WiFi Entry,27362.0,Income
26-03-2026,Travel,ESP32-Office WiFi Entry,2766.0,Expense
28-02-2026,Bills,ESP32-01 WiFi Entry,1245.0,Expense
17-03-2026,Food,ESP32-Kitchen WiFi Entry,3277.0,Expense
24-02-2026,Salary,ESP32-Office WiFi Entry,40100.0,Income
10-04-2026,Food,ESP32-02 WiFi Entry,4630.0,Expense
20-04-2026,Travel,ESP32-Office WiFi Entry,963.0,Expense
22-03-2026,Investment,ESP32-Home WiFi Entry,36947.0,Income
31-03-2026,Shopping,ESP32-02 WiFi Entry,4721.0,Expense
23-03-2026,Salary,ESP32-Office WiFi Entry,24585.0,Income
27-02-2026,Shopping,ESP32-Office WiFi Entry,412.0,Expense
05-03-2026,Bills,ESP32-02 WiFi Entry,889.0,Expense
23-03-2026,Travel,ESP32-Kitchen WiFi Entry,663.0,Expense
22-04-2026,Food,ESP32-02 WiFi Entry,747.0,Expense
22-02-2026,Investment,ESP32-02 WiFi Entry,27891.0,Income
02-04-2026,Shopping,ESP32-02 WiFi Entry,2360.0,Expense
15-04-2026,Rent,ESP32-Kitchen WiFi Entry,2599.0,Expense
06-04-2026,Food,ESP32-Home WiFi Entry,4635.0,Expense
12-03-2026,Bonus,ESP32-02 WiFi Entry,32140.0,Income
20-04-2026,Bills,ESP32-Kitchen WiFi Entry,1922.0,Expense
10-04-2026,Travel,ESP32-02 WiFi Entry,4143.0,Expense
04-03-2026,Shopping,ESP32-Kitchen WiFi Entry,252.0,Expense
26-02-2026,Shopping,ESP32-02 WiFi Entry,788.0,Expense
24-03-2026,Rent,ESP32-Home WiFi Entry,2622.0,Expense
03-03-2026,Shopping,ESP32-Office WiFi Entry,4563.0,Expense
20-03-2026,Travel,ESP32-01 WiFi Entry,1514.0,Expense
04-03-2026,Shopping,ESP32-02 WiFi Entry,638.0,Expense
19-03-2026,Investment,ESP32-Home WiFi Entry,35536.0,Income
27-03-2026,Salary,ESP32-Kitchen WiFi Entry,10898.0,Income
26-03-2026,Food,ESP32-Office WiFi Entry,1977.0,Expense
31-03-2026,Bills,ESP32-02 WiFi Entry,3540.0,Expense
26-02-2026,Bonus,ESP32-Office WiFi Entry,41124.0,Income
16-03-2026,Bonus,ESP32-Home WiFi Entry,5314.0,Income
06-03-2026,Food,ESP32-Home WiFi Entry,4206.0,Expense
20-04-2026,Travel,ESP32-Home WiFi Entry,4100.0,Expense
11-04-2026,Investment,ESP32-01 WiFi Entry,16568.0,Income
28-03-2026,Investment,ESP32-Kitchen WiFi Entry,47701.0,Income
21-02-2026,Rent,ESP32-Office WiFi Entry,530.0,Expense
15-03-2026,Bills,ESP32-01 WiFi Entry,3666.0,Expense
21-02-2026,Investment,ESP32-02 WiFi Entry,33561.0,Income
20-03-2026,Bonus,ESP32-02 WiFi Entry,14100.0,Income
16-04-2026,Bills,ESP32-Home WiFi Entry,1918.0,Expense
02-03-2026,Shopping,ESP32-01 WiFi Entry,613.0,Expense
09-04-2026,Salary,ESP32-02 WiFi Entry,42605.0,Income
14-03-2026,Investment,ESP32-Kitchen WiFi Entry,38730.0,Income
17-04-2026,Investment,ESP32-Office WiFi Entry,17253.0,Income
21-02-2026,Salary,ESP32-01 WiFi Entry,15016.0,Income
09-04-2026,Salary,ESP32-02 WiFi Entry,39063.0,Income
26-03-2026,Investment,ESP32-Office WiFi Entry,49159.0,Income
20-03-2026,Bills,ESP32-Office WiFi Entry,4388.0,Expense
10-03-2026,Travel,ESP32-Home WiFi Entry,420.0,Expense
22-02-2026,Investment,ESP32-Office WiFi Entry,40651.0,Income
23-03-2026,Salary,ESP32-Office WiFi Entry,32946.0,Income
11-03-2026,Salary,ESP32-02 WiFi Entry,19164.0,Income
12-04-2026,Bills,ESP32-01 WiFi Entry,2403.0,Expense
13-03-2026,Food,ESP32-02 WiFi Entry,2622.0,Expense
04-04-2026,Bills,ESP32-Office WiFi Entry,813.0,Expense
21-04-2026,Travel,ESP32-Office WiFi Entry,4383.0,Expense
17-03-2026,Food,ESP32-Home WiFi Entry,3714.0,Expense
04-03-2026,Travel,ESP32-Kitchen WiFi Entry,3808.0,Expense
01-04-2026,Investment,ESP32-Kitchen WiFi Entry,11257.0,Income
15-04-2026,Travel,ESP32-Kitchen WiFi Entry,1141.0,Expense
22-04-2026,Food,ESP32-Kitchen WiFi Entry,1373.0,Expense
13-03-2026,Investment,ESP32-Office WiFi Entry,13321.0,Income
12-03-2026,Shopping,ESP32-02 WiFi Entry,1223.0,Expense
04-04-2026,Travel,ESP32-02 WiFi Entry,4811.0,Expense
31-03-2026,Food,ESP32-01 WiFi Entry,3143.0,Expense
03-03-2026,Travel,ESP32-Kitchen WiFi Entry,527.0,Expense
09-04-2026,Investment,ESP32-Office WiFi Entry,21615.0,Income
04-03-2026,Bonus,ESP32-01 WiFi Entry,30299.0,Income
19-04-2026,Travel,ESP32-Office WiFi Entry,3134.0,Expense
22-04-2026,Travel,ESP32-Home WiFi Entry,1197.0,Expense
30-03-2026,Investment,ESP32-Kitchen WiFi Entry,11851.0,Income
02-03-2026,Food,ESP32-Home WiFi Entry,3723.0,Expense
28-03-2026,Investment,ESP32-02 WiFi Entry,31748.0,Income
27-02-2026,Bills,ESP32-01 WiFi Entry,1427.0,Expense
12-04-2026,Rent,ESP32-Kitchen WiFi Entry,3403.0,Expense
18-03-2026,Travel,ESP32-Home WiFi Entry,4977.0,Expense
09-04-2026,Bills,ESP32-Office WiFi Entry,3729.0,Expense
28-02-2026,Bonus,ESP32-Office WiFi Entry,17715.0,Income
28-03-2026,Shopping,ESP32-Home WiFi Entry,186.0,Expense
09-04-2026,Food,ESP32-01 WiFi Entry,2062.0,Expense
03-04-2026,Bonus,ESP32-Home WiFi Entry,49629.0,Income
05-03-2026,Bonus,ESP32-02 WiFi Entry,16051.0,Income
23-02-2026,Shopping,ESP32-Kitchen WiFi Entry,3032.0,Expense
09-04-2026,Rent,ESP32-Kitchen WiFi Entry,1042.0,Expense
01-03-2026,Bonus,ESP32-01 WiFi Entry,19467.0,Income
08-04-2026,Rent,ESP32-Office WiFi Entry,4815.0,Expense
12-04-2026,Investment,ESP32-Kitchen WiFi Entry,36088.0,Income
14-04-2026,Bonus,ESP32-02 WiFi Entry,6794.0,Income
05-03-2026,Rent,ESP32-Home WiFi Entry,4293.0,Expense
26-03-2026,Shopping,ESP32-Kitchen WiFi Entry,4747.0,Expense
26-03-2026,Investment,ESP32-Home WiFi Entry,6393.0,Income
18-04-2026,Investment,ESP32-Office WiFi Entry,41043.0,Income
11-04-2026,Travel,ESP32-02 WiFi Entry,2794.0,Expense
08-03-2026,Travel,ESP32-01 WiFi Entry,2317.0,Expense
29-03-2026,Investment,ESP32-01 WiFi Entry,34299.0,Income
29-03-2026,Rent,ESP32-Office WiFi Entry,1024.0,Expense
03-04-2026,Salary,ESP32-Home WiFi Entry,38750.0,Income
17-03-2026,Bills,ESP32-Office WiFi Entry,325.0,Expense
21-04-2026,Investment,ESP32-Home WiFi Entry,30616.0,Income
26-03-2026,Shopping,ESP32-Kitchen WiFi Entry,3279.0,Expense
20-04-2026,Bonus,ESP32-Home WiFi Entry,31047.0,Income
28-02-2026,Investment,ESP32-02 WiFi Entry,29015.0,Income
22-02-2026,Shopping,ESP32-Office WiFi Entry,1239.0,Expense
20-03-2026,Rent,ESP32-02 WiFi Entry,4269.0,Expense
27-02-2026,Travel,ESP32-02 WiFi Entry,2198.0,Expense
15-04-2026,Bonus,ESP32-Home WiFi Entry,32091.0,Income
13-04-2026,Bills,ESP32-02 WiFi Entry,3059.0,Expense
22-02-2026,Travel,ESP32-02 WiFi Entry,928.0,Expense
30-03-2026,Travel,ESP32-02 WiFi Entry,4717.0,Expense
12-03-2026,Food,ESP32-01 WiFi Entry,1875.0,Expense
21-03-2026,Bills,ESP32-01 WiFi Entry,4339.0,Expense
26-02-2026,Salary,ESP32-02 WiFi Entry,33055.0,Income
22-03-2026,Bills,ESP32-Home WiFi Entry,4006.0,Expense
10-03-2026,Bills,ESP32-02 WiFi Entry,2861.0,Expense
05-03-2026,Food,ESP32-01 WiFi Entry,2659.0,Expense
25-02-2026,Salary,ESP32-01 WiFi Entry,49215.0,Income
21-04-2026,Rent,ESP32-01 WiFi Entry,4009.0,Expense
09-03-2026,Bills,ESP32-01 WiFi Entry,4039.0,Expense
05-03-2026,Investment,ESP32-Office WiFi Entry,38707.0,Income
17-04-2026,Food,ESP32-Kitchen WiFi Entry,1609.0,Expense
06-04-2026,Investment,ESP32-Office WiFi Entry,41664.0,Income
03-03-2026,Investment,ESP32-Office WiFi Entry,46497.0,Income
09-04-2026,Rent,ESP32-Office WiFi Entry,2947.0,Expense
17-04-2026,Bills,ESP32-Home WiFi Entry,1133.0,Expense
18-04-2026,Bonus,ESP32-Office WiFi Entry,43188.0,Income
29-03-2026,Shopping,ESP32-Kitchen WiFi Entry,1788.0,Expense
17-03-2026,Salary,ESP32-Office WiFi Entry,19797.0,Income
20-04-2026,Salary,ESP32-Office WiFi Entry,44901.0,Income
05-03-2026,Travel,ESP32-02 WiFi Entry,4947.0,Expense
09-03-2026,Food,ESP32-Kitchen WiFi Entry,3417.0,Expense
12-03-2026,Rent,ESP32-02 WiFi Entry,2827.0,Expense
10-03-2026,Shopping,ESP32-Office WiFi Entry,4882.0,Expense
22-04-2026,Salary,ESP32-01 WiFi Entry,41924.0,Income
08-03-2026,Salary,ESP32-02 WiFi Entry,16915.0,Income
18-03-2026,Salary,ESP32-02 WiFi Entry,24675.0,Income
28-03-2026,Rent,ESP32-Home WiFi Entry,1899.0,Expense
29-03-2026,Rent,ESP32-02 WiFi Entry,2654.0,Expense
10-04-2026,Investment,ESP32-01 WiFi Entry,13852.0,Income
09-03-2026,Bonus,ESP32-Office WiFi Entry,16569.0,Income
22-03-2026,Rent,ESP32-Home WiFi Entry,956.0,Expense
22-03-2026,Bonus,ESP32-02 WiFi Entry,25839.0,Income
23-03-2026,Rent,ESP32-01 WiFi Entry,4898.0,Expense
12-04-2026,Travel,ESP32-Kitchen WiFi Entry,1119.0,Expense
24-02-2026,Bonus,ESP32-01 WiFi Entry,38333.0,Income
20-03-2026,Bills,ESP32-Home WiFi Entry,79.0,Expense
06-04-2026,Bills,ESP32-Kitchen WiFi Entry,3305.0,Expense
17-04-2026,Bills,ESP32-01 WiFi Entry,4152.0,Expense
10-04-2026,Salary,ESP32-02 WiFi Entry,29158.0,Income
10-04-2026,Bills,ESP32-Home WiFi Entry,494.0,Expense
28-03-2026,Bonus,ESP32-Kitchen WiFi Entry,19195.0,Income
12-03-2026,Travel,ESP32-02 WiFi Entry,3060.0,Expense
03-04-2026,Travel,ESP32-Office WiFi Entry,184.0,Expense
10-04-2026,Rent,ESP32-Office WiFi Entry,238.0,Expense
17-03-2026,Food,ESP32-01 WiFi Entry,3592.0,Expense
17-03-2026,Rent,ESP32-02 WiFi Entry,3607.0,Expense
26-03-2026,Investment,ESP32-02 WiFi Entry,48197.0,Income
28-03-2026,Food,ESP32-Kitchen WiFi Entry,1334.0,Expense
15-04-2026,Shopping,ESP32-02 WiFi Entry,4517.0,Expense
04-03-2026,Food,ESP32-02 WiFi Entry,2712.0,Expense
14-03-2026,Bonus,ESP32-Home WiFi Entry,42770.0,Income
25-03-2026,Bonus,ESP32-02 WiFi Entry,7464.0,Income
01-04-2026,Salary,ESP32-02 WiFi Entry,6918.0,Income
16-04-2026,Travel,ESP32-02 WiFi Entry,130.0,Expense
22-02-2026,Salary,ESP32-01 WiFi Entry,14831.0,Income
10-04-2026,Shopping,ESP32-01 WiFi Entry,3727.0,Expense
